Rank,Model,Overall score (/100),Retrieval (/25),Generation (/60),Reliability (/12),Correctness,Completeness,Faithfulness,Citation localization,Full-credit rate,Unanswerable success,Median latency (s)
1,Claude Fable 5,88.07529931229345,19.3464318884802,55.18344444444445,10.903164,0.9196666666666666,0.9018666666666668,0.984,0.945,0.8,0.9666666666666668,28.412
2,Claude Sonnet 5,87.81378728480203,19.3464318884802,55.17617777777778,10.656764,0.9235333333333332,0.8994,0.981,0.9416666666666668,0.7466666666666667,0.9666666666666668,10.972
3,Qwen3.7 Max,87.34914731983507,19.62657556690668,54.32533333333333,10.776764,0.9003333333333334,0.8806666666666666,0.9733333333333334,0.9366666666666666,0.7666666666666667,0.9666666666666668,68.067
4,Gemini 3.1 Pro Preview,87.24570022867373,19.3464318884802,54.34473333333333,10.937164,0.8988666666666666,0.8775333333333333,0.9873333333333336,0.9283333333333332,0.76,1.0,21.7125
5,Qwen3.6 Flash,86.95994994230489,19.3464318884802,54.37755555555555,10.627164,0.904,0.8775999999999999,0.9716666666666668,0.9416666666666668,0.74,0.9666666666666668,32.722
6,Qwen3.5 Omni Plus,86.95088844240094,19.62657556690668,54.44822222222223,10.267564,0.92,0.8806666666666666,0.9623333333333332,0.9083333333333335,0.7133333333333334,0.9,10.6735
7,Gemini 3.1 Flash-Lite,86.92164524585587,19.3464318884802,54.21039999999999,10.757164,0.8988666666666666,0.8783333333333333,0.977,0.935,0.7666666666666667,0.9666666666666668,9.2095
8,Qwen3.7 Plus,86.88920538331291,19.3464318884802,54.15933333333333,10.776764,0.8986666666666667,0.8748,0.978,0.9233333333333332,0.7666666666666667,0.9666666666666668,72.641
9,Qwen3-VL 235B,86.72745280599334,19.346431888480193,54.10923333333335,10.669964,0.9302000000000002,0.8990666666666668,0.9226666666666667,0.8620000000000001,0.74,0.9666666666666668,17.307
10,Gemini 3.5 Flash,86.59797972466457,19.3464318884802,53.91644444444445,10.737164,0.8906666666666668,0.8743333333333334,0.9813333333333336,0.9166666666666666,0.76,0.9666666666666668,22.527
11,Claude Haiku 4.5,86.46608969030032,19.3464318884802,53.63731111111112,10.888364,0.8891333333333333,0.8698666666666668,0.9764666666666668,0.9283333333333332,0.7533333333333333,1.0,10.4335
12,Qwen3-VL Flash,85.07551616290495,19.62657556690668,52.99911111111111,9.897564,0.885,0.8756666666666666,0.92,0.9166666666666666,0.6866666666666666,0.8666666666666667,16.287
