question_id,question,gold_answer,required_answer_elements,answerable,primary_modality,source_pdf_pages,sections,tables,figures,normative_type,secondary_localization_burden,secondary_modality_integration_burden,secondary_reasoning_burden,secondary_answer_composition_burden,secondary_normative_precision_burden,secondary_answerability_subtype,secondary_notes
T001,"What is the purpose of the MUTCD, and what four objectives are used to achieve that purpose?","The MUTCD establishes uniform national criteria for traffic control devices on streets, highways, pedestrian and bicycle facilities, and site roadways open to public travel. Its objectives are to promote safety, inclusion, and mobility; promote efficiency through national uniformity in device meaning and appearance; promote consistency in use, installation, and operation; and provide basic decision-making principles for traffic engineers.","establish uniform national criteria | applies to public-travel streets/highways/pedestrian/bicycle/site roadways | safety, inclusion, and mobility | efficiency through national uniformity | consistency in use/installation/operation | basic principles for traffic-engineering decisions",True,text,42,1A.01,,,Support,,,,,,,
T002,Does the applicability of the MUTCD to a facility open to public travel depend on whether the facility is publicly or privately owned or on the source of its funding?,"No. Applicability is independent of public or private ownership or jurisdiction and independent of whether funding is Federal, State, local, or private.",no | independent of ownership/jurisdiction | independent of funding source,True,text,42,1A.01,,,Support,,,,,,,
T003,"Are islands, curbs, speed humps, raised roadway surfaces, and rumble strips considered traffic control devices under the MUTCD?","No. Infrastructure elements that physically restrict travel paths or speeds, including islands, curbs, speed humps, other raised surfaces, and transverse or longitudinal rumble strips, are not traffic control devices.",no | islands/curbs/speed humps/raised surfaces are not traffic control devices | rumble strips are not traffic control devices,True,text,42,1A.02,,,Support,,,,,,,
T004,"When the MUTCD requires an implementation decision, who must make that decision and what decision basis must be used?","The decision must be made by an engineer, or by an individual under the supervision of an engineer, who has the appropriate experience and expertise. The decision must use engineering judgment or an engineering study as required by the applicable MUTCD provision.",engineer or supervised individual | appropriate experience and expertise | engineering judgment or engineering study as required,True,text,43,1A.04,,,Standard,,,,,,,
T005,"How do the MUTCD headings Standard, Guidance, Option, and Support differ, including the verbs typically associated with them?","A Standard is mandatory or prohibitive and typically uses 'shall.' Guidance is recommended practice with justified deviations allowed and typically uses 'should.' An Option is permissive and typically uses 'may.' Support is informational and conveys no mandate, recommendation, permission, prohibition, or enforceable condition.",Standard=mandatory/prohibitive and shall | Guidance=recommended and should | Option=permissive and may | Support=informational with no mandate/recommendation/permission,True,text,54,1C.01,,,Standard,,,,,,,
T006,What is the documentation difference between engineering judgment and an engineering study in the MUTCD definitions?,Both involve evaluating pertinent information and applying engineering principles by a professional engineer or a person under such an engineer's supervision. Engineering judgment does not require documentation; an engineering study must be documented in writing.,both use engineering evaluation/principles | performed by PE or supervised person | judgment documentation not required | study documented in writing,True,text,58,1C.02,,,Standard,,,,,,,
T007,"Does the MUTCD apply to roadways inside a shopping center that are open to public travel, and does it apply to the parking spaces and driving aisles within the parking area?","It applies to the shopping-center site roadways that are open to public travel without full-time access restrictions. It does not apply to the parking area itself, including its driving aisles.",site roadways open to public travel are covered | parking areas are excluded | driving aisles within parking areas are excluded,True,text,45,1B.01,,,Standard,,,,,,,
T008,How long do States or other Federal agencies with their own MUTCDs or supplements have to revise them into substantial conformance after changes to the National MUTCD become effective?,They must revise their MUTCDs or supplements into substantial conformance within 2 years of the effective date of the Final Rule for the changes.,within 2 years | measured from effective date of Final Rule,True,text,45,1B.02,,,Standard,,,,,,,
T009,"When a non-compliant traffic control device is replaced because it is damaged, missing, or no longer serviceable, what is the general rule and the limited replacement-in-kind exception?",The replacement must generally be a compliant device. A non-compliant device may be replaced in kind only when engineering judgment finds that a lone compliant device among adjacent non-compliant devices would confuse users and/or the planned replacement schedule for the whole series will achieve timely compliance.,replacement generally must be compliant | engineering judgment required for exception | confusing lone compliant device in a series | timely whole-series replacement schedule,True,text,47,1B.03,,,Standard/Option,,,,,,,
T010,May a non-compliant experimental traffic control device be used on a street open to public travel before FHWA approval to experiment is received?,No. A non-compliant device or application may not be used on a covered public-travel facility without first receiving official experimentation approval from the FHWA Office of Transportation Operations.,no | prior official FHWA approval required,True,text,47,1B.05,,,Standard,,,,,,,
T011,"What reporting deadline applies to the final report for an approved MUTCD experiment, and what can happen if required progress reports are repeatedly missed?","The final report must be submitted within 3 months after the experiment concludes. Failure to submit two consecutive semi-annual progress reports terminates the experiment and rescinds FHWA approval, requiring restoration of the sites to MUTCD-compliant conditions within 3 months.",final report within 3 months | two consecutive missed progress reports terminate/rescind approval | restore sites within 3 months,True,text,49,1B.05,,,Standard,,,,,,,
T012,What public-domain condition applies to a new traffic control device proposed for experimentation or interim approval?,"The traffic-control message, design, or application must be in the public domain and not protected by patent, trademark, or copyright. Legally binding statements are required from the relevant agency/developer/supplier for experimentation. Protection of internal components or manufacturing methods can still be allowed.",device communication/design/application must be public domain | no patent/trademark/copyright protection over the traffic-control device | binding certification for experimentation | components/manufacturing methods may be protected,True,text,50;74;75,1B.05;1D.06,,,Standard,,,,,,,
T013,What five characteristics should an effective traffic control device have under Section 1D.01?,"It should fulfill a need, command attention, convey a clear and simple meaning, command respect from road users, and give adequate time for proper response.",fulfill a need | command attention | clear simple meaning | command respect | adequate response time,True,text,72,1D.01,,,Guidance,,,,,,,
T014,"What general meanings does the MUTCD assign to fluorescent pink, orange, and purple?","Fluorescent pink is for incident management, orange is for temporary traffic control, and purple is restricted to vehicles with registered electronic toll collection accounts.",fluorescent pink=incident management | orange=temporary traffic control | purple=registered ETC-account vehicles,True,text,74,1D.05,,,Standard,,,,,,,
T015,May traffic control devices or their supports carry advertising messages?,"No. They may not bear advertising or any message unrelated to traffic control. Acknowledgment signs, Specific Service signs, and Tourist-Oriented Directional signs are not treated as advertising under this provision.",advertising prohibited | unrelated messages prohibited | acknowledgment/specific service/tourist-oriented directional signs are not advertising,True,text,75,1D.07,,,Standard/Support,,,,,,,
T016,"How does the MUTCD classify regulatory, warning, and guide signs by function?","Regulatory signs give notice of traffic laws or regulations. Warning signs give notice of a situation that might not be readily apparent. Guide signs show route designations, destinations, directions, distances, services, points of interest, or other geographical, recreational, or cultural information.",regulatory=law/regulation | warning=not readily apparent condition | guide=route/destination/direction/distance/service/information,True,text,81,2A.03,,,Standard,,,,,,,
T017,What casing and orientation rules generally apply to word messages on signs?,"Word messages generally read horizontally from left to right. Place, street, and highway names use initial upper-case letters with lower-case letters; other legends use upper-case letters unless another MUTCD provision specifies otherwise.",horizontal left-to-right | place/street/highway names mixed case | other legends upper case unless otherwise provided,True,text,86,2A.08,,,Standard,,,,,,,
T018,"If a NEW plaque is used to call attention to a new sign, how long should it remain, and may strobe lights be used to enhance sign conspicuity?",The NEW plaque should remain only for a period determined by engineering judgment and no more than 12 months. Strobe lights may not be used to enhance highway-sign conspicuity.,NEW plaque no more than 12 months | period determined by engineering judgment | strobe lights prohibited,True,text,90,2A.11,,,Guidance/Standard,,,,,,,
T019,"What are the minimum mounting heights for roadside signs in rural areas and in business, commercial, or residential areas where parking, bicyclist, or pedestrian activity is likely?","The minimum is 5 feet in rural areas and 7 feet in business, commercial, or residential areas where such activity or obstruction is likely, measured as specified from the near pavement edge or curb.",rural=5 feet | business/commercial/residential=7 feet,True,text,99,2A.15,,,Standard,,,,,,,
T020,What minimum vertical clearance is required for overhead signs over the pavement and shoulders?,"At least 17 feet, except where nearby structures or special constrained structures qualify for the specific exceptions in Section 2A.15.",17 feet minimum | recognition of stated exceptions,True,text,100,2A.15,,,Standard,,,,,,,
T021,"Where must regulatory signs be installed, and what nighttime-visibility requirement applies?","They must be installed at or near the location where the regulation applies, clearly state the requirement, and provide adequate visibility and legibility. They must be retroreflective or illuminated.",at or near where regulation applies | clearly indicate requirement | adequate visibility/legibility | retroreflective or illuminated,True,text,108,2B.01,,,Standard,,,,,,,
T022,"At an intersection where every approach is controlled by a STOP sign, what plaque is required and are plaques such as 2-WAY, 3-WAY, or 4-WAY permitted?","An ALL-WAY (R1-3P) plaque must be mounted below every STOP sign. Numeric-way plaques such as 2-WAY, 3-WAY, or 4-WAY are not permitted with STOP signs.",ALL-WAY plaque below each STOP sign | numeric-way plaques prohibited,True,text,115,2B.04,,,Standard,,,,,,,
T023,"Where must YIELD signs be used at a roundabout, and may they control the circulatory roadway?",A YIELD sign must control each entering approach roadway. It must not be used to control the circulatory roadway.,YIELD at entering approaches | not on circulatory roadway,True,text,119,2B.10,,,Standard,,,,,,,
