rank,model_name,model_id,family,tier,slug,question_count,overall_score_100,model_folder
1,Claude Fable 5,claude-fable-5,Claude,Frontier,claude_fable_5,150,88.07529931229345,models/claude_fable_5
2,Claude Sonnet 5,claude-sonnet-5,Claude,Balanced,claude_sonnet_5,150,87.81378728480203,models/claude_sonnet_5
3,Qwen3.7 Max,qwen3.7-max-2026-06-08,Qwen,Frontier,qwen3_7_max,150,87.34914731983507,models/qwen3_7_max
4,Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,Gemini,Frontier,gemini_3_1_pro_preview,150,87.24570022867373,models/gemini_3_1_pro_preview
5,Qwen3.6 Flash,qwen3.6-flash-2026-04-16,Qwen,Fast,qwen3_6_flash,150,86.95994994230489,models/qwen3_6_flash
6,Qwen3.5 Omni Plus,qwen3.5-omni-plus-2026-03-15,Qwen,Challenger,qwen3_5_omni_plus,150,86.95088844240094,models/qwen3_5_omni_plus
7,Gemini 3.1 Flash-Lite,gemini-3.1-flash-lite,Gemini,Fast,gemini_3_1_flash_lite,150,86.92164524585587,models/gemini_3_1_flash_lite
8,Qwen3.7 Plus,qwen3.7-plus-2026-05-26,Qwen,Balanced,qwen3_7_plus,150,86.88920538331291,models/qwen3_7_plus
9,Qwen3-VL 235B,qwen3-vl-235b-a22b-instruct,Qwen,Flagship,qwen3_vl_235b,150,86.72745280599334,models/qwen3_vl_235b
10,Gemini 3.5 Flash,gemini-3.5-flash,Gemini,Balanced,gemini_3_5_flash,150,86.59797972466457,models/gemini_3_5_flash
11,Claude Haiku 4.5,claude-haiku-4-5-20251001,Claude,Fast,claude_haiku_4_5,150,86.46608969030032,models/claude_haiku_4_5
12,Qwen3-VL Flash,qwen3-vl-flash-2026-01-22,Qwen,Fast,qwen3_vl_flash,150,85.07551616290495,models/qwen3_vl_flash
